idx,sent_score,tot_score,Information Density,Idea Development,Terminology Control,Style Register,Reference Consistency,Logical Connectivity,Modality and Attitude,Participant Focus,Relational Address,time
0,4.0,9.0,not relevant,not relevant,not relevant,low,not relevant,not relevant,not relevant,not relevant,not relevant,154.861
1,4.0,10.0,not relevant,not relevant,high,medium,not relevant,high,not relevant,not relevant,not relevant,83.382
2,3.0,9.0,not relevant,not relevant,not relevant,medium,not relevant,medium,not relevant,not relevant,not relevant,90.371
3,2.0,5.0,low,not relevant,low,medium,low,low,not relevant,not relevant,not relevant,119.535
4,4.0,9.0,not relevant,not relevant,medium,medium,low,not relevant,high,not relevant,not relevant,86.828
5,4.0,9.0,high,not relevant,medium,medium,high,low,not relevant,not relevant,not relevant,112.99
6,3.0,9.0,not relevant,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,47.678999999999995
7,4.0,10.0,high,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,58.631
8,4.0,10.0,not relevant,not relevant,high,medium,not relevant,high,not relevant,not relevant,not relevant,65.47399999999999
9,4.0,8.0,medium,not relevant,high,high,not relevant,high,not relevant,not relevant,not relevant,87.25099999999999
10,4.0,10.0,not relevant,not relevant,not relevant,high,high,high,not relevant,not relevant,not relevant,35.561
11,4.0,8.0,not relevant,not relevant,high,high,low,not relevant,not relevant,not relevant,not relevant,209.58299999999997
12,4.0,9.0,not relevant,not relevant,high,high,high,not relevant,not relevant,high,not relevant,202.67800000000005
13,3.0,8.0,not relevant,not relevant,high,high,not relevant,not relevant,medium,not relevant,not relevant,109.241
14,4.0,10.0,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,123.848
15,3.0,8.0,not relevant,high,medium,medium,not relevant,not relevant,not relevant,not relevant,not relevant,39.225
16,2.0,7.0,not relevant,not relevant,high,medium,medium,not relevant,not relevant,not relevant,not relevant,153.699
17,3.0,8.0,not relevant,not relevant,low,medium,medium,not relevant,not relevant,not relevant,not relevant,151.592
18,1.0,3.0,low,not relevant,low,medium,not relevant,not relevant,not relevant,not relevant,not relevant,917.357
19,3.0,8.0,not relevant,not relevant,high,medium,high,not relevant,not relevant,not relevant,not relevant,68.286
20,4.0,8.0,high,not relevant,medium,medium,medium,medium,not relevant,not relevant,not relevant,84.509
21,4.0,10.0,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,57.95
22,3.0,7.0,not relevant,not relevant,high,medium,not relevant,low,not relevant,not relevant,not relevant,62.91
23,4.0,10.0,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,30.037
24,3.0,7.0,not relevant,not relevant,medium,high,not relevant,medium,not relevant,not relevant,not relevant,29.482
25,3.0,8.0,medium,not relevant,medium,high,not relevant,not relevant,high,not relevant,not relevant,44714.742
26,2.0,,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,medium,not relevant,54.788
27,3.0,8.0,not relevant,not relevant,low,high,high,not relevant,not relevant,medium,not relevant,57.184
28,3.0,8.0,medium,high,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,69.058
29,3.0,8.0,low,high,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,53.946000000000005
30,2.0,5.0,not relevant,low,high,high,low,not relevant,high,not relevant,not relevant,81.638
31,4.0,8.0,not relevant,not relevant,medium,high,not relevant,medium,not relevant,not relevant,not relevant,56.417
32,3.0,7.0,medium,not relevant,medium,high,not relevant,not relevant,not relevant,not relevant,not relevant,87.641
33,3.0,7.0,not relevant,not relevant,medium,high,not relevant,not relevant,not relevant,high,not relevant,31.369
34,3.0,7.0,medium,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,92.108
35,4.0,9.0,not relevant,not relevant,high,high,medium,not relevant,not relevant,not relevant,high,59.554
36,4.0,9.0,not relevant,not relevant,high,high,low,high,not relevant,not relevant,not relevant,42.587
37,4.0,8.0,medium,low,medium,high,high,not relevant,not relevant,not relevant,not relevant,1931.352
38,4.0,10.0,not relevant,not relevant,not relevant,high,not relevant,high,high,not relevant,not relevant,29.188
39,3.0,8.0,not relevant,not relevant,high,high,not relevant,not relevant,high,not relevant,not relevant,64.462
40,4.0,9.0,not relevant,medium,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,21.076
41,2.0,7.0,not relevant,not relevant,medium,low,low,high,not relevant,not relevant,not relevant,39.915
42,4.0,7.0,not relevant,low,high,low,not relevant,not relevant,not relevant,not relevant,not relevant,43.368
43,3.0,7.0,medium,not relevant,low,low,not relevant,not relevant,not relevant,not relevant,not relevant,44.992999999999995
44,4.0,7.0,low,not relevant,medium,low,not relevant,not relevant,not relevant,not relevant,not relevant,27.996
45,4.0,10.0,not relevant,high,high,high,low,high,not relevant,not relevant,not relevant,60.313
46,3.0,9.0,medium,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,28.712
47,4.0,9.0,medium,not relevant,high,high,medium,high,medium,not relevant,not relevant,82.138
