idx,sent_score,tot_score,Information Density,Idea Development,Terminology Control,Style Register,Reference Consistency,Logical Connectivity,Modality and Attitude,Participant Focus,Relational Address,time
93,4,9,not relevant,medium,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,36.278
94,4,10,not relevant,not relevant,high,medium,high,not relevant,not relevant,not relevant,not relevant,21.466
95,4,9,not relevant,medium,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,37.828
96,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,25.0
97,3,8,not relevant,low,not relevant,not relevant,not relevant,not relevant,low,not relevant,not relevant,112.164
98,1,1,not relevant,low,not relevant,not relevant,not relevant,not relevant,low,not relevant,not relevant,24.738
99,4,5,not relevant,not relevant,not relevant,low,not relevant,not relevant,low,not relevant,low,39.081
100,2,6,not relevant,not relevant,not relevant,high,low,not relevant,high,not relevant,medium,107.437
101,4,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,medium,not relevant,not relevant,70.289
102,4,9,not relevant,not relevant,not relevant,high,not relevant,high,medium,not relevant,not relevant,182.805
103,4,9,not relevant,not relevant,not relevant,medium,not relevant,not relevant,high,not relevant,not relevant,15.986
104,4,9,not relevant,not relevant,high,medium,not relevant,not relevant,high,not relevant,not relevant,99.301
105,2,6,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,91.146
106,3,8,not relevant,not relevant,not relevant,medium,not relevant,not relevant,high,not relevant,not relevant,57.364
107,4,8,not relevant,not relevant,not relevant,low,not relevant,not relevant,high,not relevant,medium,31.695
108,4,8,not relevant,not relevant,not relevant,medium,medium,not relevant,medium,not relevant,not relevant,26.323
109,3,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,high,22.603
110,4,10,not relevant,high,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,17.975
111,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,13.646
112,3,7,medium,not relevant,not relevant,low,not relevant,not relevant,not relevant,medium,not relevant,27.489
113,4,5,not relevant,low,not relevant,low,not relevant,not relevant,not relevant,not relevant,not relevant,35.584
114,1,5,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,low,25.189
115,4,10,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,14.345
116,4,10,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,16.089
117,4,10,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,24.113
118,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,22.421
119,3,7,not relevant,low,not relevant,not relevant,not relevant,not relevant,medium,not relevant,not relevant,18.702
