idx,sent_score,tot_score,Information Density,Idea Development,Terminology Control,Style Register,Reference Consistency,Logical Connectivity,Modality and Attitude,Participant Focus,Relational Address,time
182,4,9,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,9.74
183,3,8,not relevant,medium,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,22.482
184,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,6.473
185,2,7,not relevant,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,16.142
186,4,9,not relevant,not relevant,high,medium,not relevant,not relevant,not relevant,not relevant,not relevant,11.222
187,4,10,not relevant,high,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,1116.071
188,4,10,not relevant,not relevant,not relevant,medium,not relevant,not relevant,high,not relevant,not relevant,31.575
189,4,9,not relevant,not relevant,not relevant,high,not relevant,medium,not relevant,not relevant,not relevant,12.599
190,4,9,not relevant,not relevant,not relevant,high,not relevant,medium,not relevant,not relevant,not relevant,21.542
191,4,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,low,not relevant,not relevant,10.484
192,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,9.064
193,2,5,not relevant,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,30.049
194,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,14.588
195,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,5.936
196,2,7,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,14.197
197,3,7,not relevant,not relevant,not relevant,high,medium,not relevant,medium,not relevant,not relevant,38.728
198,4,10,not relevant,not relevant,not relevant,high,not relevant,high,high,not relevant,not relevant,22.665
199,4,9,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,15.571
200,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,8.287
201,4,10,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,14.654
202,4,9,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,10.361
203,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,20.312
204,4,10,not relevant,not relevant,high,high,not relevant,not relevant,not relevant,not relevant,not relevant,10.82
205,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,9.192
206,3,8,not relevant,not relevant,medium,medium,not relevant,not relevant,not relevant,not relevant,not relevant,17.097
207,4,9,not relevant,not relevant,not relevant,medium,not relevant,not relevant,not relevant,not relevant,not relevant,32.797
208,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,9.608
209,2,5,not relevant,not relevant,not relevant,high,low,not relevant,not relevant,not relevant,not relevant,12.161
210,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,14.867
211,3,7,not relevant,not relevant,not relevant,high,not relevant,not relevant,low,not relevant,not relevant,18.953
212,3,9,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,23.742
213,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,high,not relevant,not relevant,8.837
214,4,9,not relevant,medium,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,15.725
215,4,10,not relevant,not relevant,not relevant,high,not relevant,not relevant,not relevant,not relevant,not relevant,11.201
